good_id,good_name,origin_region,good_type,producer_role,processor_role,consumer_role,base_price,npc_floor_price,local_supply_bias,war_demand_tag,sink_path
gd_001,粮袋,临渚中州,原产,官仓粮行,码头脚行,镖队与军需,24,16,1.18,军需,军需订单|食物消耗
gd_002,白栎木箱,临渚中州,加工,里坊木作,仓站装卸,跑商与仓储,36,24,1.14,仓储,运输损耗|仓站维护
gd_003,官署纸封,临渚中州,身份,听潮书吏,榜墙誊录,官署与帮派文牍,44,30,1.10,情报,任务文牍|帮派合同
gd_004,基础铁料,临渚中州,战时,河平码头铁行,炉湾补锻,新手制造与修理,52,34,1.12,修理,制造耗材|修理
gd_005,苦参,青蒲水网,原产,芦荻药户,青蒲药铺,医者与炼药师,28,19,1.20,医药,炼药耗材|药房维护
gd_006,青蒲根,青蒲水网,原产,田埂药农,药市作坊,医者与日常补给,30,20,1.18,医药,日常炼药|生活消耗
gd_007,药油囊,青蒲水网,加工,青蒲药工,舟工包囊房,护镖与炼药玩家,46,30,1.12,医药,制造耗材|护镖补给
gd_008,轻舟器材,青蒲水网,战时,荷灯舟工,夜泊修船棚,跑商与快运脚队,68,45,1.08,舟运,舟具磨损|运输升级
gd_009,镖银票,落雁边渡,身份,落雁镖局,脚行柜坊,护镖队与商盟,72,46,1.06,护镖,护镖押金|合同结算
gd_010,脚行路引,落雁边渡,身份,河滩脚行,榜墙衙契房,跑商与改道玩家,58,37,1.10,路权,运输通行|短驳订单
gd_011,渡口封签,落雁边渡,加工,封渡文牍铺,渡棚税吏,渡口盘查与军需封存,62,40,1.08,税关,军需封存|节点税务
gd_012,保单底册,落雁边渡,身份,保单牙行,榜墙誊录,护送保与全保用户,78,51,1.05,保险,保险费|信誉维护
gd_013,雾丝布,雾泽连汊,原产,泥灯织坊,轻甲裁坊,轻装与潜行玩家,84,54,1.18,轻甲,制造耗材|轻甲修补
gd_014,黑契封蜡,雾泽连汊,身份,沉篙黑契商,暗苇封缄房,密信与黑市跑单者,92,59,1.07,黑契,黑市附加税|伪装消耗
gd_015,伪货箱,雾泽连汊,加工,泥灯棚木匠,黑契转运点,诱敌与绕行商队,88,56,1.10,黑契,截运诱饵|伪装折损
gd_016,轻舟篙件,雾泽连汊,战时,暗苇舟工,外汊补修棚,水路追击与快运镖队,74,47,1.14,舟运,舟具磨损|快运维护
gd_017,青钢锭,黑风群谷,加工,老井矿兵,外寨铁棚,锻造匠与关防队,98,63,1.12,锻造,制造耗材|关防修补
gd_018,黑铁矿,黑风群谷,原产,老井矿工,矿道洗炼棚,基础锻造与工坊,64,41,1.20,锻造,制造耗材|工坊升级
gd_019,黑风皮,黑风群谷,原产,谷口猎户,锁甲皮作铺,前排与重装玩家,86,55,1.15,甲具,制造耗材|修理
gd_020,赏金牌,黑风群谷,身份,黑榜书吏,榜台刻牌房,赏金猎人与帮派战团,94,61,1.06,赏金,榜单结算|命名精英悬赏
gd_021,风裂晶,断云岭道,原产,断云采晶人,鹰嘴器坊,侦听与机关玩家,118,74,1.10,侦听,机关制造|观测盘维护
gd_022,关税牌,断云岭道,身份,断云税司,借道茶棚契吏,护路帮会与截运队,96,62,1.08,税关,税权结算|封税牌消耗
gd_023,鹰嘴弓片,断云岭道,加工,鹰嘴匠房,栈道修械棚,哨探与追猎玩家,82,52,1.12,关防,弓械制造|山关修理
gd_024,借道军粮,断云岭道,战时,借道茶棚,军粮转封点,军需与远征队,60,39,1.14,军需,军需订单|驻防消耗
gd_025,黑砂矿,朔砂外原,原产,朔砂矿市矿户,烟窟军需炉,重甲匠与军需线,132,83,1.16,高端资源,制造耗材|据点重建
gd_026,盐砖,朔砂外原,原产,白骨盐道盐队,马场补给仓,远途补给与食物加工,72,46,1.18,补给,食物消耗|长线军需
gd_027,军需封箱,朔砂外原,战时,朔砂军需司,烟窟合同栏,帮派后勤与战团,126,80,1.08,军需,军需订单|帮派补给
gd_028,战旅具零件,朔砂外原,加工,风蚀马场机修棚,驿厩整备房,战旅具与机关架玩家,116,73,1.10,驿务,行具修理|长线运输
gd_029,旧闸火签,伏龙外围,战时,旧闸残门守人,渊火观测台,深层远征与古闸队,168,105,1.04,远征,深层入场|世界事件
gd_030,旧闸钥具,伏龙外围,身份,前哨匠录司,残门密库,深层队伍与赛季组织,154,97,1.05,远征,深层入场|遗址封锁
gd_031,玄灯孢,伏龙外围,原产,裂隙采孢人,护命符辅料坊,高阶医者与符师,148,93,1.08,高端资源,护命符制造|远征补给
gd_032,渊火刻盘,伏龙外围,加工,渊火观测师,刻盘作坊,观测点与高阶机关师,182,114,1.02,观测,观测盘维护|世界事件
